Comment,Designator,Footprint,LCSC
10K,"R1,R10,R11,R12,R2,R3,R4,R5,R6,R7,R8,R9",R_0603_1608Metric,C25744
DRV2605LDGS,U5,DRV2605YFZR,
DRV2605LDGS,U2,DRV2605YFZR,
Conn_01x14_MountingPin,J4,PinHeader_2x07_P2.00mm_Vertical,
Conn_01x08_MountingPin,J2,PinHeader_1x08_P2.54mm_Vertical,
Conn_01x08_MountingPin,J1,PinHeader_1x08_P2.54mm_Vertical,
1uF,C7,C_0402_1005Metric,
1uF,C6,C_0402_1005Metric,
1uF,C5,C_0402_1005Metric,
1uF,C4,C_0402_1005Metric,
1uF,C3,C_0402_1005Metric,
1uF,C2,C_0402_1005Metric,
1uF,C1,C_0402_1005Metric,
DRV2605LDGS,U4,DRV2605YFZR,
DRV2605LDGS,U6,DRV2605YFZR,
DRV2605LDGS,U1,DRV2605YFZR,
DRV2605LDGS,U3,DRV2605YFZR,
1uF,C11,C_0402_1005Metric,
1uF,C9,C_0402_1005Metric,
1uF,C10,C_0402_1005Metric,
1uF,C12,C_0402_1005Metric,
1uF,C8,C_0402_1005Metric,
SMD_Battery_Clip,B1,BK5009,
VG0640001D,M6,VG0640001D,
VG0640001D,M1,VG0640001D,
VG0640001D,M4,VG0640001D,
VG0640001D,M5,VG0640001D,
VG0640001D,M3,VG0640001D,
VG0640001D,M2,VG0640001D,
Conn_01x14_MountingPin,J3,PinHeader_2x07_P2.00mm_Vertical,
